Time, Position, Rotation
12:07:03:488,(1.642. 1.025. -0.037),(-0.142. 0.576. 0.056. 0.803)
12:07:04:491,(1.464. 1.381. -0.264),(-0.185. 0.894. 0.040. 0.405)
12:07:05:497,(1.397. 1.240. -0.301),(-0.072. 0.702. 0.168. 0.689)
12:07:06:502,(1.446. 1.129. -0.290),(0.009. 0.325. 0.029. 0.945)
12:07:07:508,(1.430. 1.135. -0.297),(0.003. 0.068. 0.010. 0.998)
12:07:08:513,(1.340. 1.089. -0.339),(0.257. -0.467. 0.099. 0.840)
12:07:09:519,(1.513. 1.073. -0.320),(0.198. 0.648. -0.254. 0.690)
12:07:10:526,(1.310. 1.102. -0.379),(-0.013. 0.956. -0.169. -0.238)
12:07:11:529,(1.257. 1.119. -0.392),(-0.182. 0.947. -0.076. -0.253)
12:07:12:534,(1.312. 1.186. -0.357),(-0.460. 0.609. 0.376. 0.526)
12:07:13:541,(1.345. 1.138. -0.301),(-0.032. -0.255. 0.110. 0.960)
12:07:14:547,(1.305. 1.046. -0.366),(0.281. -0.606. 0.230. 0.708)
12:07:15:551,(1.549. 1.047. -0.289),(0.310. 0.541. -0.229. 0.747)
12:07:16:556,(1.346. 1.109. -0.402),(-0.068. 0.976. -0.147. -0.146)
12:07:17:562,(1.273. 1.129. -0.252),(0.104. -0.717. 0.028. 0.688)
12:07:18:566,(1.334. 1.190. -0.252),(-0.019. 0.823. 0.288. -0.489)
12:07:19:572,(1.365. 1.182. -0.167),(-0.213. 0.761. 0.608. 0.070)
12:07:20:577,(1.401. 1.184. -0.272),(-0.305. 0.366. 0.260. 0.840)
12:07:21:583,(1.409. 1.070. -0.221),(0.299. -0.233. 0.018. 0.925)
12:07:22:588,(1.554. 1.037. -0.313),(0.344. 0.592. -0.245. 0.687)
12:07:23:593,(1.476. 1.009. -0.418),(0.165. 0.846. -0.463. 0.206)
12:07:24:598,(1.378. 1.098. -0.413),(-0.013. 0.975. -0.185. -0.119)
12:07:25:604,(1.454. 1.128. -0.380),(0.054. 0.965. -0.059. 0.251)
12:07:26:611,(1.500. 1.106. -0.313),(0.158. 0.662. -0.112. 0.724)
12:07:27:615,(1.496. 1.115. -0.299),(0.124. 0.584. -0.076. 0.799)
12:07:28:62,(1.513. 1.107. -0.349),(0.121. 0.685. -0.138. 0.705)
12:07:29:625,(1.454. 1.145. -0.372),(0.012. 0.934. -0.003. 0.358)
12:07:30:631,(1.393. 1.190. -0.262),(-0.136. 0.830. 0.420. 0.340)
12:07:31:637,(1.383. 1.181. -0.282),(-0.270. 0.437. 0.288. 0.808)
12:07:32:642,(1.426. 1.197. -0.424),(-0.544. -0.188. -0.035. 0.817)
12:07:33:649,(1.379. 1.172. -0.467),(-0.237. -0.790. 0.002. 0.566)
12:07:34:652,(1.551. 1.176. -0.379),(-0.272. -0.703. -0.142. 0.642)
12:07:35:658,(1.581. 1.174. -0.365),(-0.311. -0.573. -0.204. 0.730)
12:07:36:662,(1.599. 1.159. -0.328),(-0.226. -0.321. -0.190. 0.900)
12:07:37:667,(1.609. 1.152. -0.305),(-0.148. -0.058. -0.116. 0.981)
12:07:38:676,(1.630. 1.159. -0.320),(-0.209. 0.131. -0.107. 0.963)
12:07:39:68,(1.602. 1.182. -0.425),(-0.553. -0.240. -0.161. 0.781)
12:07:40:684,(1.495. 1.132. -0.449),(-0.104. -0.842. 0.061. 0.525)
12:07:41:689,(1.443. 1.054. -0.307),(0.335. -0.473. 0.153. 0.800)
12:07:42:695,(1.579. 1.065. -0.307),(0.295. 0.549. -0.200. 0.756)
12:07:43:7,(1.339. 1.099. -0.352),(-0.037. 0.894. -0.228. -0.384)
12:07:44:706,(1.352. 1.158. -0.234),(0.035. -0.775. -0.084. 0.626)
12:07:45:711,(1.408. 1.183. -0.271),(0.045. 0.943. 0.195. -0.267)
12:07:46:716,(1.439. 1.155. -0.361),(0.077. 0.987. 0.061. 0.126)
12:07:47:721,(1.392. 1.113. -0.567),(-0.022. 1.000. 0.002. 0.017)
12:07:48:726,(1.418. 1.143. -0.378),(0.005. 0.998. 0.021. 0.063)
12:07:49:731,(1.433. 1.123. -0.281),(0.006. 0.996. -0.013. 0.089)
12:07:50:737,(1.463. 1.094. -0.532),(-0.011. 0.992. -0.062. 0.111)
12:07:51:744,(1.501. 1.110. -0.491),(0.031. 0.951. -0.011. 0.306)
12:07:52:749,(1.523. 1.110. -0.279),(0.121. 0.452. -0.071. 0.881)
12:07:53:753,(1.538. 1.111. -0.295),(0.117. 0.689. 0.017. 0.715)
12:07:54:758,(1.491. 1.142. -0.279),(0.000. 0.570. 0.132. 0.811)
12:07:55:763,(1.479. 1.125. -0.297),(0.087. 0.550. -0.014. 0.831)
12:07:56:769,(1.458. 1.144. -0.326),(-0.011. 0.543. 0.012. 0.839)
12:07:57:774,(1.483. 1.110. -0.238),(0.144. 0.342. -0.029. 0.928)
12:07:58:782,(1.515. 1.109. -0.224),(0.122. 0.422. -0.038. 0.897)
12:07:59:785,(1.516. 1.121. -0.239),(0.066. 0.438. -0.018. 0.896)
12:08:00:79,(1.475. 1.140. -0.274),(-0.005. 0.461. 0.020. 0.887)
12:08:01:799,(1.488. 1.142. -0.307),(0.002. 0.673. 0.026. 0.739)
