Video Url, Rating(-2 to 2)
C:\360DegreeVideos\London On Tower Bridge.mp4,0
C:\360DegreeVideos\Ayutthaya - Easy Tripod Paint.mp4,-1
C:\360DegreeVideos\Crystal Shower Falls.mp4,2
